id,scada_link_id,wind_speed,surge_level,wind_source,surge_source
SUB-018,SCADA-0018,63.5,3.40,open-meteo-cache:26.4_-81.8,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-019,SCADA-0019,46.8,0.55,open-meteo-cache:27.8_-82.4,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-020,SCADA-0020,65.7,3.50,open-meteo-cache:26.6_-81.9,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-021,SCADA-0021,51.2,0.66,open-meteo-cache:27.6_-82.3,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-022,SCADA-0022,74.5,5.32,open-meteo-cache:26.4_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-023,SCADA-0023,65.7,3.98,open-meteo-cache:26.6_-81.9,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-024,SCADA-0024,56.5,3.38,open-meteo-cache:26.6_-81.7,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-025,SCADA-0025,74.5,3.65,open-meteo-cache:26.5_-81.9,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-026,SCADA-0026,46.8,0.55,open-meteo-cache:27.7_-82.4,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-027,SCADA-0027,42.4,0.73,open-meteo-cache:27.9_-82.3,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-028,SCADA-0028,54.7,1.05,open-meteo-cache:27.8_-81.9,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-029,SCADA-0029,32.0,0.74,open-meteo-cache:28.3_-81.6,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-030,SCADA-0030,57.7,1.30,open-meteo-cache:27.3_-81.4,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-031,SCADA-0031,43.4,0.89,open-meteo-cache:28.0_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-032,SCADA-0032,59.6,3.85,open-meteo-cache:26.6_-81.8,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-033,SCADA-0033,65.7,3.71,open-meteo-cache:26.6_-81.9,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-034,SCADA-0034,62.2,3.49,open-meteo-cache:26.5_-81.8,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-035,SCADA-0035,65.7,3.52,open-meteo-cache:26.6_-81.9,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-036,SCADA-0036,47.3,0.64,open-meteo-cache:27.6_-82.4,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-037,SCADA-0037,53.2,1.00,open-meteo-cache:27.6_-82.2,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-038,SCADA-0038,74.3,2.95,open-meteo-cache:26.2_-81.8,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-039,SCADA-0039,64.4,3.36,open-meteo-cache:27.1_-82.2,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-040,SCADA-0040,31.1,0.71,open-meteo-cache:28.3_-81.3,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-041,SCADA-0041,39.6,0.80,open-meteo-cache:28.1_-81.7,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-042,SCADA-0042,57.8,0.96,open-meteo-cache:27.7_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-043,SCADA-0043,68.8,3.70,open-meteo-cache:26.9_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-044,SCADA-0044,42.4,0.66,open-meteo-cache:27.9_-82.3,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-045,SCADA-0045,54.5,1.51,open-meteo-cache:27.3_-82.5,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-046,SCADA-0046,54.5,1.55,open-meteo-cache:27.3_-82.5,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-047,SCADA-0047,46.8,0.52,open-meteo-cache:27.8_-82.4,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-048,SCADA-0048,43.9,0.69,open-meteo-cache:27.9_-82.5,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-049,SCADA-0049,49.9,1.10,open-meteo-cache:27.8_-81.8,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-050,SCADA-0050,64.0,2.95,open-meteo-cache:27.1_-82.4,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
